Symbol	Name
LDAN	LEEDAN-BUSINESS ENT
LDER	LEADER UND INS 1
LDRTC	LEADER TECH
LEVA	A LEVI INVT & CONST
LEVI	MESHULAM LEVINST 1
LFSR	LIFSHIR 1
LGNA	LAGNA HOLDINGS
LHIS	LACHISH IND 1
LIEB	A.LIEBER SUBSOIL IN
LIGD	LIGAD INVESTMENT
LIMS	LIMS
LITR	ISR LIGHT&SUPPLY 1
LNOP	LANOPTICS
LODZ	LODZIA ROT TEX 1
LPHL	LAPIDOTH HELETZ
LPMA	LIPMAN ELECTRONIC
LPSK	L.M.LIPSKI 1
LTGR	LITO GROUP
LUDN	LUDAN ENGR
LUMI	BK LEUMI INS
LUMR	LUMIR HLDGS 1
LWTL	LOEWENTHAL SAGIV BE
MABR	MAABAROT PRODS
MAFL	MAFIL LTD
MAGM	MAGMA INDUSTRIES
MAGS	MAGAL SECURITIES
MAIN	M.A. INDUSTRIES
MALT	MELTA INTER IND
MAN	MAN FOOD&FISH CON 1
MANF	FINANCIAL LEVERS
MAPR	HAMAKOR PRTG
MARA	MARATHON CAP DEVL
MARA-PP	MARATHON CAP DEVL
MARV	MAARIV HOLDING
MASH	MASHAV REFRIG INDS
MATV	MATAV-CABLE COMM
MAXM1	MAXIMA AIR SEP 1
MAXM5	MAXIMA AIR SEP
MAYN	MAAYAN VENTURES
MCPL	MACPEL
MCTC	MICROMEDIC
MDCN	MEDCON
MDIN-L	MODIIN ENERGY
MEDI	MEDTECHNICA
MEDN	MEHADRIN LTD.
MEGA	MEGASON HLDGS
MEHOE	MEDITERANEAN HTLS
MEMM	M.M. ENGR
MEND	KAMAN HOLDINGS
METR-M	ALONEI MEITAR
MEYD	MAYANOT EDEN
MGAM	MAGAM ENTERPRISES
MGDL	MIGDAL INSURANCE
MGIC	MAGIC SOFTWARE ENTR
MILO	MILOUMOR
MIMS	MIMSAR AUTOMOTIVE
MINI	MINI LINE
MIRO	MIROMIT ASHKELON ME
MISH	MIVTACH SHAMIR HLDG
MLAM	MALAM SYS
MLBU5	MALIBU ISR DRUCK
MLLC	MLL SOFTWARE
MLRG	MALRAG ENGINEERING
MLSR	MELISRON
MLTP	MULTIPLE INVESTMENT
MLTR	MILOMOR TRADE COMM
MLTX	MULTIMATRIX
MLUM	THIRD MILLENNIUM-T
MMAN	MAMAN CARGO TERM 1
MMCO	M&M COHEN BLDG & CO
MMDI	MMD TECHNOLOGIES
MNDO	MIND CTI
MNRV	MINRAV HLDGS
MORA1	MENORAH INS CO 1
MORA5	MENORAH INS CO
MPI	MPI
MRHV	MERHAV-CERAMIC & BU
MSBR	HAMASHBIR FASHION
MTCO	MTI COMPUTERS & SOF
MTLK	METALINK
MTM	MTM BLDG IND&CR 1
MTRN	MAYTRONICS
MTRX	MATRIX IT
MTSC	METIS CAPITAL
MZPK	MZPK
MZRH	MIZRAHI BK 0.50 REG
NAMN	NAAMAN PORCELAIN
NATO	NATOUR
NCST1-M	NECHUSHTAN INV
NCST5-M	NECHUSHTAN INV
NECH	NECHUSHTAN PTYS & E
NESU	NESSUAH ZANNEX
NFEX-L	NAPHTHA EXPLORATION
NFTA	NAPHTA ISRAEL INS
NGEV	NEGEV CERAMICS 1
NGNO	NAGANO INVESTMENT
NIA	NIA METAL WORKS & E
NICE	NICE SYSTEMS
NIKU	NIKUV COMPUT ISR 1
NISA	NISSAN MED. INS 1
NKPL	NEW KOPEL
NMC	NMC MUSIC LTD
NOGI	NOGA INSURANCE
NOGI-P	NOGA INSURANCE P
NORF	NORFOLK INTL
NSKO	NISKO INDS
NSPR	NISKO PRO ELEC COMM
NTBA	NITSBA HLDGS
NTGR	NETANEL GROUP
NTO	NETO M.E.HOLDINGS
NTSN	NETVISION
NURA	FINANCITECH
NURD-M	NORDAN TECHNOLOGIES
NURM	NEURIM PHARMACEUTIC
NVIO	NEVIOT TEVA HAGALIL
NVMI	NOVA MEASURING INTR
OCEA	OCEANA ADVANCED IND
OCIF	OCIF INV DEVL
OFCM	OFER COMMCL CTRS
OFER	OFER BROTHERS
OFIS	OFFIS TEXTILE INS 1
OGDN	OGDAN SYS APPL & DE
OGEN	OGEN REAL ESTATE
OHH	OTZAR HIT HAYEH REG
OLMP	OLIMPIA REAL ESTATE
OMGA	OMEGA NEW PARTNERS
OMNF	OMNI FOOD BARANDS
OMNI	OMNITECH EIHUT LTD
